Nome: ARACAJU
Codigo Estacao: A409
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.72
Situacao: Pane
Data Inicial: 2025-01-01
Data Final: 2025-10-19
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2025-01-01;0;1012,2;null;null;null;null;64,6;54;8,3;3,5;
2025-01-02;0;1012,4;null;null;null;null;64,5;53;8,5;2,8;
2025-01-03;0;1011,8;null;null;null;null;65,7;51;8,1;3,3;
2025-01-04;0;1011,3;null;null;null;null;69,1;56;9,3;3,7;
2025-01-05;0;1010,9;null;null;null;null;71,8;58;10,1;4,1;
2025-01-06;0;1011;null;null;null;null;70,2;58;9;3,9;
2025-01-07;0;1011,2;null;null;null;null;66,3;56;9,2;3,8;
2025-01-08;0;1010,9;null;null;null;null;68;56;10,3;3,8;
2025-01-09;0;1009,8;null;null;null;null;70,4;60;9,5;3,8;
2025-01-10;0;1009,4;null;null;null;null;76,8;60;10,5;3;
2025-01-11;16,6;1010,1;null;null;null;null;81,4;68;8;2;
2025-01-12;59,2;1010,7;null;null;null;null;82,6;65;9,1;2;
2025-01-13;0;1009,1;null;null;null;null;75,8;52;7,5;2,5;
2025-01-14;0;1008,8;null;null;null;null;75,1;49;9,9;2,5;
2025-01-15;0;1010,5;null;null;null;null;75;63;9,6;2,7;
2025-01-16;0;1012,6;null;null;null;null;73,4;60;8,4;3,1;
2025-01-17;0;1013,6;null;null;null;null;64,5;48;7,9;1,8;
2025-01-18;0;1013,1;null;null;null;null;67,3;50;5,8;1,6;
2025-01-19;0;1012,5;null;null;null;null;71,3;58;7,4;2,6;
2025-01-20;,4;1012,6;null;null;null;null;70,1;57;8;3;
2025-01-21;0;1012,8;null;null;null;null;72,3;61;8,4;3,2;
2025-01-22;0;1013;null;null;null;null;71,9;59;9,1;3,6;
2025-01-23;0;1013;null;null;null;null;65,9;53;8,2;2,3;
2025-01-24;0;1012,6;null;null;null;null;66,5;55;7,3;2,8;
2025-01-25;1;1013;null;null;null;null;68;54;8,1;2,6;
2025-01-26;1,2;1013,2;null;null;null;null;68,9;56;9,5;2,9;
2025-01-27;0;1012,4;null;null;null;null;71;57;8,4;3,3;
2025-01-28;0;1012,4;null;null;null;null;69,3;57;9,3;3,4;
2025-01-29;0;1012;null;null;null;null;68;58;9,3;3,6;
2025-01-30;0;1012;null;null;null;null;67,9;55;8,1;3;
2025-01-31;0;1011,8;null;null;null;null;63,2;51;8,4;3,3;
2025-02-01;0;1011,2;null;null;null;null;65,4;54;8,8;3;
2025-02-02;0;1011;null;null;null;null;67,3;58;8,7;2,8;
2025-02-03;1,6;1011,4;null;null;null;null;71,1;55;11;2,2;
2025-02-04;1,2;1012,5;null;null;null;null;64,3;49;10,1;1,8;
2025-02-05;1,6;1012,4;null;null;null;null;70,5;54;9,9;1,7;
2025-02-06;18,2;1012,3;null;null;null;null;75,9;59;10,6;1,8;
2025-02-07;1,2;1011,1;null;null;null;null;72,2;55;7,6;1,5;
2025-02-08;1;1011,1;null;null;null;null;65;55;9,4;1,5;
2025-02-09;2,2;1012,3;null;null;null;null;72,2;59;10,7;2,6;
2025-02-10;0;1012;null;null;null;null;68,4;54;8,3;2;
2025-02-11;0;1011,6;null;null;null;null;65,9;53;7;1,2;
2025-02-12;0;1012;null;null;null;null;64,2;53;7,8;2,7;
2025-02-13;0;1012,8;null;null;null;null;65,7;49;7,2;2,2;
2025-02-14;0;1012,3;null;null;null;null;63,4;52;7,8;3,1;
2025-02-15;0;1011,6;null;null;null;null;64;52;7,9;2,9;
2025-02-16;4,2;1012,4;null;null;null;null;68,8;54;8,2;1,9;
2025-02-17;,2;1012,6;null;null;null;null;64,7;51;7,3;1,9;
2025-02-18;0;1011,8;null;null;null;null;61,7;47;8,5;1,5;
2025-02-19;0;1012,2;null;null;null;null;64,8;53;7,6;2,9;
2025-02-20;0;1013,1;null;null;null;null;67,7;57;9,5;3,4;
2025-02-21;,4;1013,3;null;null;null;null;66,5;52;9,2;2,9;
2025-02-22;0;1013,2;null;null;null;null;65,2;45;8;1,5;
2025-02-23;0;1012,7;null;null;null;null;61,7;47;9,1;2,3;
2025-02-24;,2;1012,5;null;null;null;null;67;50;10,2;1,9;
2025-02-25;6;1013,7;null;null;null;null;71,1;53;8,7;2,1;
2025-02-26;0;1013,6;null;null;null;null;64,7;49;7,1;1,6;
2025-02-27;4,4;1012,4;null;null;null;null;67,7;52;9,8;1,8;
2025-02-28;3,2;1012,1;null;null;null;null;63,3;50;10,2;2,4;
2025-03-01;8;1012,4;null;null;null;null;71,8;56;8,2;2,3;
2025-03-02;8,2;1012,7;null;null;null;null;71,8;55;10,9;2,3;
2025-03-03;7,4;1012,7;null;null;null;null;68;48;7,8;1,4;
2025-03-04;1,4;1012;null;null;null;null;68,8;53;8,5;1,5;
2025-03-05;6;1012,1;null;null;null;null;65,5;54;8,4;1,9;
2025-03-06;0;1013,2;null;null;null;null;64,9;51;9,2;1,7;
2025-03-07;,2;1014,1;null;null;null;null;64;51;8,7;1,3;
2025-03-08;,2;1013,5;null;null;null;null;61;46;6,7;1,3;
2025-03-09;0;1013;null;null;null;null;61,1;45;6,7;1,4;
2025-03-10;,2;1013,1;null;null;null;null;71,3;55;7,5;2;
2025-03-11;,4;1014,4;null;null;null;null;64,4;50;7,3;2,5;
2025-03-12;0;1014,7;null;null;null;null;63,2;51;6,8;1,6;
2025-03-13;,8;1013;null;null;null;null;64,9;49;6,9;1,4;
2025-03-14;11,2;1012;null;null;null;null;70,8;56;6,9;1,4;
2025-03-15;0;1011,8;null;null;null;null;67,2;58;8,6;3,2;
2025-03-16;0;1013,1;null;null;null;null;66,5;56;8,3;3,1;
2025-03-17;0;1013,9;null;null;null;null;64,6;52;8,3;2,6;
2025-03-18;,2;1013;null;null;null;null;64,6;49;8,6;2,8;
2025-03-19;0;1012,1;null;null;null;null;65;54;8,9;3,2;
2025-03-20;0;1012,7;null;null;null;null;67,7;53;8,1;2,7;
2025-03-21;10,4;1013,6;null;null;null;null;71,8;58;7,9;1,8;
2025-03-22;,6;1013,6;null;null;null;null;72,2;61;6,5;2,1;
2025-03-23;16,4;1012,9;null;null;null;null;73,4;59;7,9;2,3;
2025-03-24;0;1012,6;null;null;null;null;66,9;59;8,5;2,6;
2025-03-25;4;1013,3;null;null;null;null;67,3;57;11,6;3,1;
2025-03-26;0;1012,6;null;null;null;null;67,3;57;7,3;2,4;
2025-03-27;0;1012;null;null;null;null;63,1;51;7,9;2,3;
2025-03-28;0;1011,5;null;null;null;null;64,5;50;7,1;1,8;
2025-03-29;0;1011,8;null;null;null;null;64,3;54;8,3;3,4;
2025-03-30;0;1011,5;null;null;null;null;62,3;53;8,1;2,7;
2025-03-31;2,2;1012,4;null;null;null;null;72,3;56;8,2;1,9;
2025-04-01;4;1012,9;null;null;null;null;68;53;8,4;1,8;
2025-04-02;1;1012,2;null;null;null;null;64,3;48;7,5;1,4;
2025-04-03;5,4;1011,8;null;null;null;null;67,3;51;6,6;1,2;
2025-04-04;0;1012,4;null;null;null;null;66,1;53;8;3;
2025-04-05;0;1014,3;null;null;null;null;62,5;51;8,6;2,8;
2025-04-06;0;1013,6;null;null;null;null;58,9;45;7,6;1,5;
2025-04-07;0;1011,6;null;null;null;null;63,8;49;6,8;1,6;
2025-04-08;2;1012,4;null;null;null;null;63,9;49;7,1;1,4;
2025-04-09;4,4;1013,3;null;null;null;null;66,7;54;7,3;1,5;
2025-04-10;0;1011,8;null;null;null;null;67,4;56;7,6;2;
2025-04-11;0;1012,2;null;null;null;null;69,4;57;7,6;2,6;
2025-04-12;81,2;1011,6;null;null;null;null;79,6;66;13,6;2,3;
2025-04-13;,2;1012,6;null;null;null;null;75,4;58;6,3;1,7;
2025-04-14;11,8;1013,9;null;null;null;null;74,1;53;6,2;1,1;
2025-04-15;0;1011,4;null;null;null;null;70,3;58;6;2;
2025-04-16;0;1012,9;null;null;null;null;69,6;59;7,3;2,8;
2025-04-17;0;1015,1;null;null;null;null;68,4;52;7,7;2,1;
2025-04-18;0;1015,6;null;null;null;null;67,7;57;7,5;2,5;
2025-04-19;0;1016,7;null;null;null;null;67,6;51;7,2;2,3;
2025-04-20;0;1014;null;null;null;null;71,2;59;8,1;2,8;
2025-04-21;0;1011,3;null;null;null;null;69,2;56;7,3;2,2;
2025-04-22;0;1012,3;null;null;null;null;63;53;6,5;2;
2025-04-23;0;1010,4;null;null;null;null;66;55;7,8;2,1;
2025-04-24;0;1012,7;null;null;null;null;63;49;6,5;1,5;
2025-04-25;0;1010,5;null;null;null;null;68,8;49;5,6;1,4;
2025-04-26;0;1011,8;null;null;null;null;70,3;59;7,9;2,2;
2025-04-27;0;1010,5;null;null;null;null;68,4;55;7,5;3;
2025-04-28;0;1010,5;null;null;null;null;68,2;57;7,4;2,7;
2025-04-29;0;1011,2;null;null;null;null;68,5;54;8,6;3,3;
2025-04-30;0;1010,5;null;null;null;null;67,3;51;8,1;3;
2025-05-01;0;1011,5;null;null;null;null;61,8;50;6,4;1,6;
2025-05-02;0;1012,8;null;null;null;null;71,6;55;7,5;1,8;
2025-05-03;11,8;1012,8;null;null;null;null;81,8;66;7,5;1,5;
2025-05-04;92,6;1012,7;null;null;null;null;88;74;7,2;1,7;
2025-05-05;6,6;1013,3;null;null;null;null;80,7;60;8,2;1,8;
2025-05-06;16,4;1013,2;null;null;null;null;79,5;67;8,1;1,6;
2025-05-07;29,2;1012,8;null;null;null;null;78,5;59;7,4;2,3;
2025-05-08;,6;1013,5;null;null;null;null;70,6;61;8,1;2,5;
2025-05-09;3,2;1013,6;null;null;null;null;68,9;59;10,6;2,7;
